logFC	logCPM	LR	PValue	FDR
ENSRNOT00000016193	-1.97560045187721	7.30192986485016	294.100930538313	6.35362964762713e-66	1.71535293226637e-61
ENSRNOT00000027656	2.00119528374286	10.6309989078851	198.656795754666	4.10160610925929e-45	5.53675808688912e-41
ENSRNOT00000086590	1.38677351958895	7.56730428452526	161.131314496821	6.40434945389174e-37	5.76348755187231e-33
ENSRNOT00000075767	1.47895071562975	6.51849382736035	108.923969660738	1.68631743466026e-25	1.13817995252394e-21
ENSRNOT00000117803	-1.52992243551831	6.25791926156702	97.6700941734553	4.94230669199701e-23	2.66864792141071e-19
ENSRNOT00000075493	1.11885911047768	7.30951295479653	75.8111869429505	3.12127732196791e-18	1.40447075230816e-14
ENSRNOT00000015185	1.30104074829703	7.16107622004094	73.4865951677168	1.01321938420982e-17	3.90784241927098e-14
ENSRNOT00000059724	0.859584044225413	9.0407859284116	72.5940710431717	1.59256803660184e-17	4.78956049867454e-14
ENSRNOT00000103387	0.765739910054788	8.2019057053057	72.589033426247	1.5966384357386e-17	4.78956049867454e-14
ENSRNOT00000086264	1.16315274666019	6.65223416543832	71.4596630125213	2.8298452405711e-17	7.64001618049386e-14
ENSRNOT00000038833	-1.24082587368646	5.48344751446826	67.7205876943945	1.88386163535405e-16	4.62368149375351e-13
ENSRNOT00000009840	-2.74842820741582	6.16216265047408	65.997731176108	4.51442343232521e-16	9.87529274220894e-13
ENSRNOT00000074058	0.699407870467048	8.01612440047517	65.895349713228	4.75512281090141e-16	9.87529274220894e-13
ENSRNOT00000007002	-1.70225985400088	6.63401282328142	64.0336297900288	1.22313408479091e-15	2.35872671579892e-12
ENSRNOT00000009248	-0.690427591222849	8.11849693753238	63.8335687967537	1.35386854135347e-15	2.43678285863073e-12
ENSRNOT00000010079	-1.34689904648194	7.80018171126905	62.19065529601	3.11763809302408e-15	5.26062457721651e-12
ENSRNOT00000105242	0.747541344284343	10.7990930400978	61.8131461736156	3.77644652352194e-15	5.99744136717914e-12
ENSRNOT00000019392	-2.84496367771923	5.65695799639815	59.9478635325784	9.74036741973671e-15	1.46094688665584e-11
ENSRNOT00000002293	10.1834539556209	2.41071776513722	59.5210055003064	1.20995727922484e-14	1.71928561181643e-11
ENSRNOT00000091866	-1.06081971985651	6.91163297687656	58.5060674461529	2.02664973905546e-14	2.73577448275097e-11
ENSRNOT00000005910	-0.97483087646046	7.70317490729995	57.767445754142	2.95011934545377e-14	3.79272962326481e-11
ENSRNOT00000004941	0.694494649800551	8.23116985206931	56.7550377013252	4.93624692490089e-14	6.05767247629428e-11
ENSRNOT00000086396	0.802695295607385	7.80203928743987	56.6520309218653	5.20171024355279e-14	6.10590318067123e-11
ENSRNOT00000091551	1.25172922633744	6.31184642705574	56.0256428167261	7.15319332962106e-14	8.04674639637956e-11
ENSRNOT00000103181	0.873832895746219	7.62876282121709	55.0594013515757	1.16941625334083e-13	1.24649069881472e-10
ENSRNOT00000016328	-1.35990387295128	6.40872585444677	55.0079820205656	1.20041329613982e-13	1.24649069881472e-10
ENSRNOT00000028887	0.790461042667461	8.05020176369677	54.066436576817	1.93823945055467e-13	1.93809587726203e-10
ENSRNOT00000115481	-2.74124100210031	5.84082223727078	52.8430567336319	3.61293603823582e-13	3.48364454143895e-10
ENSRNOT00000074404	0.657095332112506	8.04673038573115	52.6257789625677	4.03557236751937e-13	3.75697871649269e-10
ENSRNOT00000108644	-1.38949954756946	6.00638233321691	51.7864557718067	6.18771846078026e-13	5.31419242013157e-10
ENSRNOT00000084271	0.83084102706333	7.03093655156235	51.7726261870212	6.23145622178527e-13	5.31419242013157e-10
ENSRNOT00000013613	0.816580191872156	7.90387038919992	51.7515310740655	6.29876870302283e-13	5.31419242013157e-10
ENSRNOT00000085026	-2.23579676371772	4.90682208633799	51.0803051870552	8.86634265131991e-13	7.12743439906832e-10
ENSRNOT00000086790	-1.04605381046325	7.34907808268281	51.0561871705765	8.97595264717101e-13	7.12743439906832e-10
ENSRNOT00000026559	-0.816279680636266	9.0683804066175	49.5977670744876	1.88728384206514e-12	1.44223521477007e-09
ENSRNOT00000005085	-2.58080303621227	4.69320096398629	49.5608608471352	1.92312273989639e-12	1.44223521477007e-09
ENSRNOT00000002496	-1.57023906254855	5.85034609132372	49.4935064115668	1.99029416314138e-12	1.45226923828354e-09
ENSRNOT00000009563	-0.830356107513629	7.67928142506303	48.1620177299731	3.92416471253533e-12	2.78801576076391e-09
ENSRNOT00000110990	0.689418078595722	9.01329528251234	47.9814534141541	4.3026998126235e-12	2.97857152669767e-09
ENSRNOT00000007676	0.766883064025185	7.80739001726836	46.6337192660989	8.55750019532589e-12	5.66128895052992e-09
ENSRNOT00000035123	-0.79972720423073	6.50360187934331	46.6246016748993	8.59740895517175e-12	5.66128895052992e-09
ENSRNOT00000012577	-1.80363225946002	5.4940511044469	46.3027692895043	1.01320653532906e-11	6.51298810495573e-09
ENSRNOT00000071420	1.31508868579791	6.78572400978644	43.6340393861643	3.95892743163516e-11	2.48565401858805e-08
ENSRNOT00000048770	-1.92572458217403	5.15967641763256	43.4733779495695	4.29766532466691e-11	2.63700837353084e-08
ENSRNOT00000072502	0.644983386036105	10.6440914899505	43.2673745302354	4.77478956773529e-11	2.8646615277715e-08
ENSRNOT00000035486	-1.25210056782033	7.47166647923477	42.935801016935	5.65659651568136e-11	3.31993027674707e-08
ENSRNOT00000082850	-1.31656158544483	7.90944721959479	42.0051794334641	9.10319787015557e-11	5.22910927869064e-08
ENSRNOT00000060168	1.18182022762762	5.36145417776097	41.8095428400692	1.00611169955082e-10	5.65895909676524e-08
ENSRNOT00000065304	-0.994318571438531	8.22889978839844	40.8012971019907	1.68521198512085e-10	9.28517411720261e-08
ENSRNOT00000064679	0.520145313507058	10.0017078243864	40.5627481152563	1.9040223711614e-10	1.02809591953231e-07
ENSRNOT00000003313	-1.41240525167375	5.98867992963518	40.1904989252349	2.303659023858e-10	1.21949384953173e-07
ENSRNOT00000081355	0.88189579484758	8.96336193296864	39.927544238847	2.63560221051655e-10	1.36838439383704e-07
ENSRNOT00000008509	0.988995757540384	6.01445069532214	39.5347511316388	3.22273111420532e-10	1.6416470683267e-07
ENSRNOT00000020795	0.796014680639886	8.06990791946338	39.4848189947228	3.30619698708261e-10	1.65297604180104e-07
ENSRNOT00000083156	0.596374276379007	9.91244945126824	39.4459623162347	3.37264378122436e-10	1.65553885100901e-07
ENSRNOT00000088223	-0.864396424863306	6.14476406059232	39.2935218379637	3.646491343877e-10	1.75799952324984e-07
ENSRNOT00000082931	-1.70790403104894	4.97450247663613	39.2408369166599	3.74622347687314e-10	1.77028201633496e-07
ENSRNOT00000114342	-3.1059607408529	3.80734103098594	39.2114112988008	3.80310974692302e-10	1.77028201633496e-07
ENSRNOT00000007356	0.800946991868495	7.84919373661673	39.0419934372756	4.14786738863551e-10	1.89803599590477e-07
ENSRNOT00000047450	-0.420619512817699	12.0268439921316	38.8219795801859	4.64270648648672e-10	2.08906316203614e-07
ENSRNOT00000002091	1.26265156105552	5.25651729074608	38.7515476160792	4.81328449361062e-10	2.10232692024757e-07
ENSRNOT00000067455	-1.00910483405666	7.37027722350936	38.7456201807747	4.82792314450513e-10	2.10232692024757e-07
ENSRNOT00000033450	0.694234919236213	7.67997740767023	38.67786761443	4.99844810162043e-10	2.1420333626595e-07
ENSRNOT00000018064	-1.0802654475897	6.50817436423833	38.6306755974941	5.12077502252775e-10	2.16016693840944e-07
