"GeneID","ensembl_gene_id","ENTREZID","logFC","logCPM","LR","FDR"
"ENSRNOT00000055633","ENSRNOG00000000001","311013",-0.60115269335236,-0.239716888769035,0.227502976077812,1
"ENSRNOT00000000008","ENSRNOG00000000007","24379",-0.379749366844439,5.44631881525167,3.70778008428364,0.35706834341654
"ENSRNOT00000084375","ENSRNOG00000000007","24379",-0.51645921518347,0.697362035478338,0.0881724044741077,1
"ENSRNOT00000000011","ENSRNOG00000000010","498922",0.14146170493762,2.85951717787146,0.0637090607767252,1
"ENSRNOT00000000022","ENSRNOG00000000021",NA,-7.02560604977942,-0.903222084758996,1.74775094960979,0.664631063456912
"ENSRNOT00000000036","ENSRNOG00000000033","305095",0.1048214807372,6.01972543851175,0.341236799001816,0.991652294717743
"ENSRNOT00000100441","ENSRNOG00000000033","305095",-7.03610180568672,-0.767463991824262,1.77844316515006,0.65871662112663
"ENSRNOT00000104946","ENSRNOG00000000033","305095",5.43369894957672,0.182576748276729,2.89975257812364,0.462012336333414
"ENSRNOT00000000039","ENSRNOG00000000034","289419",-1.66369357019885,1.58558690790945,3.66295875907506,0.36245826379894
"ENSRNOT00000000041","ENSRNOG00000000036","305096",-0.339691643148819,7.35215206970429,12.0786761738877,0.0147424685853351
"ENSRNOT00000093726","ENSRNOG00000000040","305101",1.08811660954397,0.0451387510796591,0.38196383341176,0.983909084584488
"ENSRNOT00000000047","ENSRNOG00000000041","64076",-0.545189591295031,1.11396043051178,0.160214543917846,1
"ENSRNOT00000111929","ENSRNOG00000000041","64076",2.47370745478857,0.57252942218963,0.571149314861588,0.948038982632821
"ENSRNOT00000081892","ENSRNOG00000000042","289424",0.246990664781507,3.87785630702808,0.0454614179896637,1
"ENSRNOT00000108645","ENSRNOG00000000042","289424",0.493165657550837,0.624235501234883,0.0388547370789691,1
"ENSRNOT00000093410","ENSRNOG00000000042","289424",-2.56988926582301,1.61803554405292,1.12920246169114,0.815296211885239
"ENSRNOT00000000049","ENSRNOG00000000042","289424",1.8203215136321,2.22861954181541,0.97572761883233,0.856367631422486
"ENSRNOT00000113923","ENSRNOG00000000042","289424",0.442439786601787,2.15512933037649,0.0757687891876024,1
"ENSRNOT00000000048","ENSRNOG00000000043","360904",-0.0992138745484841,4.90246303536295,0.151768837953512,1
"ENSRNOT00000094320","ENSRNOG00000000044","305623",7.71863635727104,-0.535207654699425,6.09822153684349,0.155725292764137
"ENSRNOT00000000050","ENSRNOG00000000044","305623",0.50765217338972,4.82758740612624,2.4087100252004,0.542937695593908
"ENSRNOT00000114727","ENSRNOG00000000044","305623",-3.85050549543502,0.461292163611468,0.936584414103384,0.862894281196026
"ENSRNOT00000100406","ENSRNOG00000000047","83628",0.373468868120554,3.64431069097282,0.663433631735373,0.926639409701747
"ENSRNOT00000119233","ENSRNOG00000000047","83628",0.598964854335939,-0.920971846001882,0.0535507179889354,1
"ENSRNOT00000097921","ENSRNOG00000000047","83628",0.546362929080418,3.12312890548391,0.0867285689442809,1
"ENSRNOT00000000052","ENSRNOG00000000047","83628",-0.0435554645114324,3.53584809382113,0.00274561518741834,1
"ENSRNOT00000105303","ENSRNOG00000000048","81659",0.879121433126185,2.09021143531074,0.0554609475416648,1
"ENSRNOT00000000064","ENSRNOG00000000048","81659",-0.177185490130264,6.65372872544781,1.08057691121134,0.827337909335333
"ENSRNOT00000061720","ENSRNOG00000000048","81659",0.451811035160982,5.13979039769723,2.57746523818751,0.512154583648641
"ENSRNOT00000091089","ENSRNOG00000000053","25419",0.432501586599027,4.73529557082739,2.19385233907897,0.583240892675416
"ENSRNOT00000000058","ENSRNOG00000000053","25419",-0.342967366767418,1.67922624463571,0.121073567773086,1
"ENSRNOT00000000060","ENSRNOG00000000054","306338",0.164541021342459,6.5095141632093,1.45815954533208,0.731890569195851
"ENSRNOT00000111935","ENSRNOG00000000054","306338",0.153844496839931,0.171049203592657,0.00476691237126303,1
"ENSRNOT00000108544","ENSRNOG00000000062","305624",-0.0528023457644903,2.67562933535031,0.00805986002806414,1
"ENSRNOT00000000071","ENSRNOG00000000062","305624",-0.0686267393013115,4.70582838667746,0.0817458563691629,1
"ENSRNOT00000111567","ENSRNOG00000000062","305624",-0.310255791817344,0.8542433340315,0.0227272287777787,1
"ENSRNOT00000000074","ENSRNOG00000000066","305105",-0.160996439656882,4.05455063166705,0.176931752906446,1
"ENSRNOT00000000078","ENSRNOG00000000068","312754",-0.460166973158879,6.44159801592741,9.47861843230432,0.0446133275799109
"ENSRNOT00000000080","ENSRNOG00000000070","289881",-0.0288027816726125,5.88451350774694,0.0365980840534936,1
"ENSRNOT00000119350","ENSRNOG00000000073","289883",-0.461633510772694,3.18988921172187,0.389846897212635,0.983381985056834
"ENSRNOT00000000083","ENSRNOG00000000073","289883",-0.721759721896418,1.09854237792018,0.0355866681932024,1
"ENSRNOT00000098983","ENSRNOG00000000075","360905",-0.504794339184049,3.74967994044811,0.917092901533167,0.868123246094263
"ENSRNOT00000000086","ENSRNOG00000000075","360905",-0.0648746890445362,3.76322078878085,0.00596457892172353,1
"ENSRNOT00000000092","ENSRNOG00000000081","305633",-6.93960075496688,-1.48796920471245,2.9656849349697,0.451639965925927
"ENSRNOT00000096178","ENSRNOG00000000081","305633",-1.84212656961638,-0.131577207728042,0.665987806488156,0.926152652486243
"ENSRNOT00000119294","ENSRNOG00000000081","305633",-0.171660938707854,1.66207306050885,0.0713554030226966,1
"ENSRNOT00000090912","ENSRNOG00000000082","295568",-0.81714261815582,4.71530185957501,0.335861587098542,0.992066889562182
"ENSRNOT00000064828","ENSRNOG00000000082","295568",-0.000159162910570983,4.2002091693722,1.6353524756596e-08,1
"ENSRNOT00000106667","ENSRNOG00000000082","295568",7.25413613858669,0.698802372325908,3.6172834539309,0.366786476914829
"ENSRNOT00000000102","ENSRNOG00000000091","85435",-1.32826465103308,5.65800588389604,30.2368549158639,3.89559742048718e-06
"ENSRNOT00000079544","ENSRNOG00000000091","85435",7.67030062381713,-1.13912457961937,3.48354908828498,0.382399728562405
"ENSRNOT00000094385","ENSRNOG00000000095","362003",-0.11414993130052,0.395070058810474,0.00134823287937635,1
"ENSRNOT00000000106","ENSRNOG00000000095","362003",0.304662427432269,5.32938915633037,2.17364967675101,0.586283369365929
"ENSRNOT00000000107","ENSRNOG00000000096","65144",-0.564387158101456,3.35133613059467,1.87816948105076,0.638510914628813
"ENSRNOT00000000109","ENSRNOG00000000097",NA,-0.666624923344614,-1.12847849326597,0.116237014283804,1
"ENSRNOT00000000110","ENSRNOG00000000098","362002",0.154038924456776,6.03833516493762,1.07769894398409,0.827833098831484
"ENSRNOT00000000116","ENSRNOG00000000104","290519",-0.187428002669128,6.59300013074292,2.51990988938589,0.523823678429663
"ENSRNOT00000091046","ENSRNOG00000000105","116657",0.110582190063249,8.16336092029599,1.34803778541403,0.760319486870621
"ENSRNOT00000107358","ENSRNOG00000000108","290923",-1.30444818373451,2.0467532606544,0.611259911820991,0.937673302670553
"ENSRNOT00000116014","ENSRNOG00000000108","290923",-0.279576837211067,2.72416592643717,0.255595151278063,1
"ENSRNOT00000000120","ENSRNOG00000000108","290923",0.270911643814705,5.50993776774131,2.35553075576898,0.552164783329382
"ENSRNOT00000000123","ENSRNOG00000000111","290925",0.148509779081729,2.73381822809419,0.0630633122070527,1
"ENSRNOT00000000124","ENSRNOG00000000112","306647",0.0598608034907814,4.96824760468281,0.0585206278279315,1
"ENSRNOT00000000125","ENSRNOG00000000113","307604",-0.194320531262053,3.86437113997475,0.338091656760463,0.991652294717743
"ENSRNOT00000081841","ENSRNOG00000000121","366478",1.4730054037877,0.563166591868245,0.391512202095878,0.983381985056834
"ENSRNOT00000000133","ENSRNOG00000000121","366478",-0.343699146511932,1.88625068577785,0.0924758213187644,1
"ENSRNOT00000093801","ENSRNOG00000000122","24184",0.456310276282464,3.13671980895809,0.923904502470043,0.866855969001563
"ENSRNOT00000000134","ENSRNOG00000000122","24184",0.0870801464028316,6.49115052342871,0.316185975614422,0.995655428929822
"ENSRNOT00000089457","ENSRNOG00000000123","313806",0.165088698533425,5.06946101215089,0.709833938621371,0.916915118384644
"ENSRNOT00000087556","ENSRNOG00000000127","362607",0.486788789511086,4.22406629851862,0.266262372524235,1
"ENSRNOT00000000139","ENSRNOG00000000127","362607",0.0492529955502406,3.81726797716255,0.00182287387831792,1
"ENSRNOT00000000141","ENSRNOG00000000129","500446",5.12548240610387e-15,-0.961956306097913,0,1
"ENSRNOT00000098449","ENSRNOG00000000129","500446",-0.135707734700245,-1.37412223930991,0.00410976566092991,1
"ENSRNOT00000120097","ENSRNOG00000000129","500446",-0.632973625060158,0.657469865421944,0.0984056375055182,1
"ENSRNOT00000000142","ENSRNOG00000000130","313811",0.0241400420166226,3.79283470642311,0.000225124417042366,1
"ENSRNOT00000080082","ENSRNOG00000000130","313811",-0.81877295799211,3.49042466594675,0.228072176270288,1
"ENSRNOT00000100127","ENSRNOG00000000133","307180",0.289992612021632,3.03408977458172,0.224576720310399,1
"ENSRNOT00000100127","ENSRNOG00000000133","685729",0.289992612021632,3.03408977458172,0.224576720310399,1
"ENSRNOT00000000146","ENSRNOG00000000133","307180",0.204234518281724,6.53552754056774,2.2796928768913,0.567424107813981
"ENSRNOT00000000146","ENSRNOG00000000133","685729",0.204234518281724,6.53552754056774,2.2796928768913,0.567424107813981
"ENSRNOT00000071426","ENSRNOG00000000133","307180",0.0954540148339418,5.58865669368222,0.206385755056349,1
"ENSRNOT00000071426","ENSRNOG00000000133","685729",0.0954540148339418,5.58865669368222,0.206385755056349,1
"ENSRNOT00000032433","ENSRNOG00000000138","298732",0.0806957768839811,3.89929219929429,0.0511999895582509,1
